date,cases,hospitalizations,deaths,cumulative_hospitalizations,cumulative_discharged_cases,current_hospitalized_cases,daily_hospitalizations_cumulative,daily_recoveries_cumulative
1,0,0,0,0,0,0,,0
2,0,0,0,0,0,0,,0
3,0,0,0,0,0,0,,0
4,0,0,0,0,0,0,,0
5,0,0,0,0,0,0,,0
6,0,0,0,0,0,0,,0
7,0,0,0,0,0,0,,0
8,0,0,0,0,0,0,,0
9,0,0,0,0,0,0,,0
10,0,0,0,0,0,0,,0
11,0,0,0,0,0,0,,0
12,0,0,0,0,0,0,,0
13,0,0,0,0,0,0,,0
14,0,0,0,0,0,0,,0
15,0,0,0,0,0,0,,0
16,0,0,0,0,0,0,,0
17,0,0,0,0,0,0,,0
18,0,0,0,0,0,0,,0
19,0,0,0,0,0,0,,0
20,0,0,0,0,0,0,,0
21,0,0,0,0,0,0,,0
22,0,0,0,0,0,0,,0
23,0,0,0,0,0,0,,0
24,0,0,0,0,0,0,,0
25,0,0,0,0,0,0,,0
26,0,0,0,0,0,0,,0
27,0,0,0,0,0,0,,0
28,0,0,0,0,0,0,,0
29,0,0,0,0,0,0,,0
30,0,0,0,0,0,0,,0
31,0,0,0,0,0,0,,0
32,0,0,0,0,0,0,,0
33,0,0,0,0,0,0,,0
34,0,0,0,0,0,0,,0
35,0,0,0,0,0,0,,0
36,0,0,0,0,0,0,,0
37,0,0,0,0,0,0,,0
38,0,0,0,0,0,0,,0
39,0,0,0,0,0,0,,0
40,0,0,0,0,0,0,,0
41,0,0,0,0,0,0,,0
42,0,0,0,0,0,0,,0
43,0,0,0,0,0,0,,0
44,0,0,0,0,0,0,,0
45,0,0,0,0,0,0,,0
46,0,0,0,0,0,0,,0
47,0,0,0,0,0,0,,0
48,0,0,0,0,0,0,,0
49,0,0,0,0,0,0,,0
50,0,0,0,0,0,0,,0
51,0,0,0,0,0,0,,0
52,0,0,0,,,,,
53,0,0,0,,,,,
54,1,0,0,,,,,
55,0,0,0,,,,,
56,0,0,0,,,,,
57,0,0,0,,,,,
58,5,0,0,,,,,
59,0,0,0,,,,,
60,5,0,0,,,,,
61,3,0,0,,,,,
62,8,0,0,,,,,
63,9,0,0,,,,,
64,1,0,0,,,,,
65,7,0,0,,,,,
66,23,0,0,,,,,
67,34,0,0,,,,,
68,40,0,0,,,,,
69,47,0,0,,,,,
70,71,0,0,,,,,
71,42,0,0,,,,,
72,101,0,0,,,,,
73,106,0,1,,,29,,
74,132,0,1,,,29,,
75,127,0,1,,,77,,
76,172,0,1,,,87,,
77,105,0,0,,,91,,
78,267,0,2,,,137,,
79,191,0,2,,,157,,
80,86,0,2,,,204,,
81,273,0,6,,,184,,
82,236,0,3,,,184,,
83,309,0,5,,,271,,
84,183,0,7,,,261,,
85,285,0,2,,,270,,
86,351,0,13,,,354,,
87,205,0,7,,,386,,
88,225,0,12,,,398,,
89,257,0,9,,,423,,
90,404,0,6,,,362,,
91,208,0,1,,,331,,
92,296,0,5,,,313,,
93,208,0,22,,,418,,
94,99,0,9,,,431,,
95,342,0,14,,,452,,
96,394,0,21,,,429,,
97,281,0,12,,,388,,
98,353,0,8,,,465,,
99,271,0,7,,,373,,
100,187,0,34,,,427,,
101,269,0,29,,,434,,
102,388,0,11,,,486,,
103,444,0,16,,,477,,
104,571,0,20,,,456,,
105,207,0,10,,,451,,
106,312,0,7,,,473,,
107,426,0,36,,,463,,
108,380,0,12,,,551,,
109,561,0,24,,,546,,
110,414,0,21,,,547,,
111,586,0,21,,,502,,
112,155,0,2,,,475,,
113,184,0,8,,,498,,
114,408,0,22,,,534,,
115,502,0,25,,,516,,
116,639,0,30,,,525,,
117,471,0,20,,,515,,
118,492,0,17,,,513,,
119,404,0,3,,,442,,
120,281,0,3,,,464,,
121,301,0,27,,,475,,
122,470,0,20,,,521,,
123,691,0,18,,,507,,
124,622,0,26,,,492,,
125,853,0,11,,,481,,
126,530,0,7,,,493,,
127,511,0,2,,,511,,
128,677,0,30,,,585,,
129,422,0,11,,,554,,
130,738,0,14,,,578,,
131,758,0,12,,,568,,
132,1107,0,9,,,589,,
133,497,0,7,,,587,,
134,742,0,10,,,627,,
135,176,0,12,,,621,,
136,488,0,28,,,702,,
137,784,0,33,,,708,,
138,1076,0,32,,,680,,
139,1185,0,18,,,638,,
140,916,0,9,,,649,,
141,674,0,12,,,650,,
142,626,0,23,,,716,,
143,888,0,18,,,684,,
144,1189,0,21,,,659,,
145,1289,0,6,,,717,,
146,1370,0,26,,,708,,
147,921,0,4,,,696,,
148,938,0,10,,,739,,
149,676,0,23,,,774,,
150,1011,0,24,,,780,,
151,1310,0,11,,,812,,
152,1768,0,28,,,760,,
153,1427,0,12,,,823,,
154,1443,0,5,,,798,,
155,983,0,9,,,797,,
156,751,0,36,,,829,,
157,1002,0,14,,,846,,
158,1333,0,7,,,857,,
159,1652,0,22,,,871,,
160,1549,0,15,,,883,,
161,1412,0,8,,,845,,
162,804,0,3,,,870,,
163,848,0,28,,,915,,
164,1721,0,15,,,906,,
165,1009,0,18,,,891,,
166,1635,0,19,,,892,,
167,1719,0,9,,,888,,
168,1605,0,10,,,890,,
169,1342,0,3,,,843,,
170,1186,0,18,,,908,,
171,1843,0,30,,,901,,
172,1629,0,18,,,912,,
173,2099,0,1,,,951,,
174,1413,0,3,,,945,,
175,1329,0,1,,,949,,
176,1546,0,2,,,982,,
177,1346,0,22,,,989,,
178,1435,0,21,,,994,,
179,2039,0,20,,,1034,,
180,1982,0,18,,,1046,,
181,2462,0,20,,,1093,,
182,1908,0,4,,,1070,,
183,1827,0,7,,,1040,,
184,1956,0,42,,,1109,,
185,1782,0,16,,,1142,,
186,2160,0,20,,,1134,,
187,2051,0,18,,,1180,,
188,2481,0,23,,,1154,,
189,1820,0,5,,,1115,,
190,1268,0,8,,,1086,,
191,1815,0,26,,,1179,,
192,2140,0,30,,,1137,,
193,1892,0,28,,,1188,,
194,2102,0,20,,,1182,,
195,2097,0,32,,,1168,,
196,1621,0,7,,,1170,,
197,1625,0,5,,,1169,,
198,1749,0,30,,,1244,,
199,1763,0,45,,,1291,,
200,2344,0,38,,,1239,,
201,1954,0,21,,,1229,,
202,1730,0,40,,,1151,,
203,1341,0,5,,,1142,,
204,1313,0,13,,,1057,,
205,1629,0,28,,,1166,,
206,1127,0,40,,,1167,,
207,1979,0,42,,,1147,,
208,1545,0,42,,,1123,,
209,1954,0,26,,,1129,,
210,1452,0,8,,,1109,,
211,626,0,4,,,1111,,
212,1051,0,32,,,1122,,
213,1166,0,45,,,1062,,
214,1763,0,38,,,1070,,
215,1346,0,26,,,1049,,
216,1536,0,30,,,1032,,
217,1246,0,4,,,934,,
218,564,0,1,,,980,,
219,1263,0,48,,,1026,,
220,1153,0,35,,,1001,,
221,1972,0,34,,,1023,,
222,2008,0,29,,,1015,,
223,1729,0,27,,,996,,
224,1472,0,10,,,898,,
225,1283,0,4,,,948,,
226,1345,0,35,,,1000,,
227,1244,0,36,,,1004,,
228,2091,0,24,,,958,,
229,1415,0,22,,,970,,
230,2585,0,31,,,965,,
231,1051,0,9,,,917,,
232,1186,0,10,,,923,,
233,2111,0,39,,,946,,
234,1129,0,38,,,858,,
235,1656,0,24,,,858,,
236,2045,0,36,,,955,,
237,1561,0,50,,,831,,
238,1086,0,1,,,830,,
239,1018,0,7,,,765,,
240,716,0,12,,,827,,
241,897,0,49,,,916,,
242,1222,0,32,,,928,,
243,1532,0,33,,,938,,
244,1454,0,24,,,870,,
245,1196,0,5,,,831,,
246,845,0,8,,,895,,
247,1106,0,51,,,916,,
248,1137,0,38,,,918,,
249,1552,0,31,,,894,,
250,1443,0,27,,,904,,
251,1229,0,28,,,882,,
252,1333,0,8,,,889,,
253,800,0,4,,,885,,
254,1168,0,39,,,905,,
255,952,0,30,,,912,,
256,1688,0,40,,,902,,
257,6142,0,53,,,903,,
258,1759,0,31,,,914,,
259,1290,0,1,,,917,,
260,868,0,4,,,897,,
261,889,0,49,,,950,,
262,1495,0,38,,,956,,
263,2277,0,47,,,939,,
264,1775,0,29,,,921,,
265,2202,0,21,,,921,,
266,610,0,5,,,907,,
267,2258,0,3,,,971,,
268,1504,0,33,,,1013,,
269,1711,0,23,,,1028,,
270,2428,0,29,,,1051,,
271,2034,0,25,,,1065,,
272,2321,0,18,,,1034,,
273,1719,0,5,,,1046,,
274,1276,0,3,,,1109,,
275,1734,0,43,,,1103,,
276,1926,0,40,,,1152,,
277,2532,0,18,,,1140,,
278,2684,0,36,,,1148,,
279,2102,0,19,,,1140,,
280,2303,0,5,,,1129,,
281,1144,0,5,,,1142,,
282,1578,0,53,,,1203,,
283,1842,0,40,,,1219,,
284,2400,0,50,,,1205,,
285,2716,0,32,,,1181,,
286,2584,0,30,,,1182,,
287,1807,0,13,,,1148,,
288,1643,0,13,,,1193,,
289,2141,0,41,,,1214,,
290,2253,0,34,,,1193,,
291,2885,0,38,,,1181,,
292,2809,0,49,,,1196,,
293,2805,0,46,,,1184,,
294,2057,0,5,,,1122,,
295,1336,0,7,,,1146,,
296,2349,0,67,,,1175,,
297,2425,0,50,,,1186,,
298,2859,0,41,,,1193,,
299,2908,0,34,,,1161,,
300,2676,0,23,,,1196,,
301,2094,0,2,,,1147,,
302,1521,0,8,,,1169,,
303,2582,0,45,,,1230,,
304,3119,0,38,,,1246,,
305,2893,0,8,,,1279,,
306,1779,0,14,,,1423,,
307,3885,0,36,,,1425,,
308,3117,0,50,,,1395,,
309,1972,0,8,,,1424,,
310,3288,0,38,,,1501,,
311,3367,0,46,,,1537,,
312,4296,0,38,,,1538,,
313,3688,0,43,,,1571,,
314,3415,0,26,,,1590,,
315,4514,0,29,,,1571,,
316,2419,0,5,,,1601,,
317,3100,0,35,,,1724,,
318,4212,0,64,,,1811,,
319,0,0,0,,,1811,,
320,8008,0,72,,,1780,,
321,3444,0,9,,,1840,,
322,3820,0,21,,,1885,,
323,2734,0,21,,,1966,,
324,2883,0,23,,,2033,,
325,4199,0,82,,,2039,,
326,5637,0,44,,,2101,,
327,5303,0,57,,,2157,,
328,6018,0,49,,,2171,,
329,6438,0,27,,,2191,,
330,4372,0,17,,,2240,,
331,4670,0,45,,,2373,,
332,6495,0,56,,,2440,,
333,5556,0,53,,,2444,,
334,7540,0,38,,,2514,,
335,6153,0,44,,,2577,,
336,6819,0,27,,,2520,,
337,4770,0,32,,,2553,,
338,5236,0,26,,,2735,,
339,5273,0,98,,,2811,,
340,5786,0,86,,,2804,,
341,8444,0,60,,,2824,,
342,6164,0,59,,,2846,,
343,6900,0,40,,,2748,,
344,4479,0,16,,,2817,,
345,5255,0,51,,,3001,,
346,5609,0,69,,,3043,,
347,0,0,0,,,3043,,
348,0,0,0,,,3043,,
349,19419,0,166,,,3023,,
350,2898,0,23,,,3123,,
351,3888,0,12,,,3192,,
352,3563,0,13,,,3377,,
353,8551,0,155,,,3339,,
354,6715,0,19,,,3472,,
355,0,0,0,,,3472,,
356,18892,0,144,,,3479,,
357,6487,0,18,,,3576,,
358,5187,0,31,,,3635,,
359,5285,0,55,,,3781,,
360,6952,0,80,,,3893,,
361,10398,0,137,,,3960,,
362,10028,0,115,,,3960,,
363,11581,0,97,,,3871,,
364,8833,0,142,,,3774,,
365,5936,0,11,,,3843,,
366,6851,0,60,,,3940,,
367,5098,0,107,,,3951,,
368,9853,0,80,,,3990,,
369,8914,0,108,,,3916,,
370,7986,0,83,,,3895,,
371,6811,0,67,,,3862,,
372,0,0,0,,,3862,,
373,9860,0,56,,,3881,,
374,6415,0,61,,,3740,,
375,7187,0,139,,,3666,,
376,7436,0,125,,,3512,,
377,7181,0,122,,,3416,,
378,6096,0,109,,,3303,,
379,4633,0,25,,,3287,,
380,3978,0,56,,,3368,,
381,5587,0,139,,,3305,,
382,6490,0,131,,,3238,,
383,6959,0,111,,,3048,,
384,6168,0,130,,,2883,,
385,4899,0,48,,,2782,,
386,3776,0,7,,,2781,,
387,2926,0,67,,,2741,,
388,12079,0,169,,,2706,,
389,5495,0,150,,,2630,,
390,5547,0,113,,,2523,,
391,4172,0,85,,,2468,,
392,4674,0,57,,,2378,,
393,3084,0,8,,,2339,,
394,2786,0,55,,,2374,,
395,3833,0,135,,,2291,,
396,4568,0,113,,,2185,,
397,4128,0,82,,,2151,,
398,4130,0,77,,,2101,,
399,3170,0,38,,,1989,,
400,2458,0,10,,,1941,,
401,1988,0,61,,,1958,,
402,3167,0,108,,,1954,,
403,3916,0,96,,,1892,,
404,3227,0,54,,,1780,,
405,3446,0,76,,,1708,,
406,2541,0,30,,,1647,,
407,2133,0,8,,,1567,,
408,1514,0,31,,,1563,,
409,3346,0,109,,,1530,,
410,3351,0,63,,,1498,,
411,2924,0,49,,,1465,,
412,2643,0,26,,,1414,,
413,0,0,0,,,1414,,
414,3622,0,42,,,1319,,
415,1239,0,34,,,1353,,
416,2145,0,75,,,1303,,
417,2502,0,36,,,1290,,
418,2093,0,47,,,1226,,
419,2027,0,56,,,1179,,
420,0,0,0,,,1179,,
